Category,Organization,Purpose,Website,Phone/WhatsApp,Address/Email,Verification note
Registration,Cámara de Comercio de Cali,Commercial registration and business guidance,https://www.ccc.org.co,"(602) 886 1300; WhatsApp +57 318 886 1300","Calle 8 #3-14, Cali",Official site checked July 2026
Tax,DIAN,RUT tax profile and electronic invoicing guidance,https://www.dian.gov.co,+57 (601) 489 9000,DIAN online appointment/contact center,Official site updated June 2026
Municipal,Alcaldía de Santiago de Cali,Land use ICA/RIT opening and municipal guidance,https://www.cali.gov.co,"195; (602) 887 9020; 01 8000 222 195",contactenos@cali.gov.co,Official city channels
Land use,Cali online land-use consultation,Check exact home address and activity,https://www.cali.gov.co/tramites/uso-de-suelo/consulta,,Online city service,Free consultation
Sanitation,Secretaría de Salud Pública de Cali,Beauty sanitation guidance and applicable inspection,https://www.cali.gov.co/salud,(602) 519 5100,"Calle 4B #36-00; atencionalusuarioensalud@cali.gov.co",Confirm correct inspection team for address
Cosmetics,INVIMA,Verify cosmetic notification/NSO and product guidance,https://www.invima.gov.co/cosmeticos-aseo-plaguicidas/cosmeticos,,,Official cosmetics portal
Payments,Nequi Negocios,QR Tap to Phone and links,https://www.nequi.com.co/negocios/app-negocios,300 600 0100,Support through app/site,Official rates checked July 2026
Payments/Bank,Bold,Card payments QR links and business account,https://bold.co/pagos-y-cuenta,,Support through official site,Compare live fees and settlement
Accounting,Alegra Colombia,DIAN-oriented invoicing and accounting,https://www.alegra.com/colombia/precios/,,Support through official site,Starter plan shown from COP 17.900/month when checked
Accounting,QuickBooks Global,Optional management accounting and reports,https://quickbooks.intuit.com/global/es/precios/,+65 3163 3422,Live chat on official site,USD subscription; not substitute for Colombian invoicing
CRM,AgendaPro Colombia,Booking CRM reminders marketing and payments,https://agendapro.com/co,,Contact sales through official site,Verify current plan quotation
CRM,Treinta,Mobile sales clients and inventory,https://treinta.co/,,Support through app/site,Colombia available
CRM,Fresha,Alternative booking and reminders,https://www.fresha.com/pricing,,Official support,Verify Colombian payments and FX costs
Supplies,Organic Nails Cali / Nail Store Cali,Professional nail products and training,https://nailstore.com.co,,"Instagram @organicnailscali",Authorized local network cited by Organic Nails Colombia
Supplies,Centro Comercial La Colmena,Multiple beauty and nail suppliers,https://centrocomerciallacolmena.co/cc-la-colmena/,"(602) 880 8930; +57 310 427 0390","Calle 15 No. 3-38, Cali",Visit and request multiple quotes
Supplies,Nails Shop,Gel acrylic and decoration products,,+57 324 558 3626,"Calle 15 #3-20; Centro de Belleza Plaza; piso 3 bodega 303",Directory listing; verify before travel
Supplies,YKmania,Nail accessories and supplies,https://www.ykmania.com.co,+57 310 494 7712,"Calle 5 #63A-19, Pampalinda",Verify current catalog and invoice
Supplies,Distribuidora 2D,Beauty products and advice,https://www.distribuidora2d.com/contacto/,+57 313 549 7886,"Cra. 8 #18-06, Cali",Official contact page
Supplies,Distribuidora Extra,Cosmetics cleaning and disposables,https://www.distribuidoraextracali.com/contacto,"+57 312 249 5372; (602) 890 0859","Cra. 9 #11-27; extra@distribuidoraextra.com",Official contact page
Supplies,Distri Divas,Professional manicure equipment,https://distridivas.com/,,Online store,Compare warranty and shipping
